Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Investigator or Source
2015.09.08,08-Sep-2015,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,Minor laceration to hand,N,morning,"ABC News, 9/8/2015"
2015.09.06,06-Sep-2015,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,afternoon,"R. Collier, GSAF"
2015.09.05,05-Sep-2015,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,afternoon,"R. Collier, GSAF"
2015.09.04,04-Sep-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,morning,"The Sydney Morning Herald, 9/4/2015"
2015.09.03,03-Sep-2015,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,,Right foot bitten,N,afternoon,"C. Creswell, GSAF"
2015.09.01,01-Sep-2015,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,37,Left foot & ankle bitten,N,morning,"Phuket Gazette, 9/1/2015"
2015.08.29.b,29-Aug-2015,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,"No injury, surfboard bitten",N,morning,"R. Collier, GSAF"
2015.08.29.a,29-Aug-2015,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,morning,"R. Collier, GSAF"
2015.08.22.b,22-Aug-2015,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",,M,,Wound to right lower leg,,afternoon,"Brevard Times, 8/22/2015"
2015.08.22.a,22-Aug-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,38,Severe laceration to left buttock & thigh,N,afternoon,"Daily Telegraph, 8/22/2015"
2015.08.20,20-Aug-2015,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,"Injuries to left calf, arm and hand",N,morning,"C. Creswell, GSAF"
2015.08.19,19-Aug-2015,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,Lacerations to right leg,N,afternoon,"ABC News, 8/21/2015"
2015.08.18.b,18-Aug-2015,2015,Boating,USA,California,Santa Barbara County,Kayak Fishing,M,22,"No injury, kayak bitten",N,morning,"R. Collier, GSAF"
2015.08.18.a,18-Aug-2015,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,10,Minor injury when he attempted to touch a fish. ,,morning,"The Local, 8/18/2015"
2015.08.10,10-Aug-2015,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,morning,"NBC San Diego, 8/13/2015"
2015.07.31,31-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,morning,"Daily Telegraph, 7/31/2015"
2015.07.28,28-Jul-2015,2015,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,47,Minor inuries to toes,N,,YouTube
2015.07.26.b,26-Jul-2015,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,Minor injury to sole of foot,N,afternoon,CBS 7/27/2015
2015.07.26.a,26-Jul-2015,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",,morning,"C. Creswell, GSAF, ABC 11, 7/27/2015"
2015.07.25,25-Jul-2015,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,FATAL,Y,morning,"C. Black, GSAF"
2015.07.23.b,23-Jul-2015,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"NBC San Diego, 7/27/2015"
2015.07.23.a,23-Jul-2015,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,Left hand bitten,N,,"ABC News, 7/27/2015"
2015.07.22,22-Jul-2015,2015,Unprovoked,REUNION,,St. Leu,Surfing,M,45,Arm bitten,N,,Zig Zag Surfing Magazine
2015.07.19,19-Jul-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N,,"BBC, 7/20/2015"
2015.07-10,10-Jul-2015,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38,"No injury, shark bumped & damaged board",N,morning,"KTLA, 7/10/2015"
2015.07.08,08-Jul-2015,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39,Laceration to back,,,"Sentinel & Enterprise.com, 10/4/2015"
2015.07.04.b,04-Jul-2015,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,Lacerations to lower leg & ankle,N,,"ABC action News, 7/7/2015"
2015.07.04.a,04-Jul-2015,2015,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",,M,32,Lacerations to right hand & forearm,N,,"C. Creswell, GSAF"
2015.07.03,03-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N,morning,"Northern Star, 7/3/2015"
2015.07.02,02-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,32,Significant injuries to lower legs,N,morning,"Northern Star, 7/2/2015"
2015.07.01,01-Jul-2015,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,morning,"C. Creswell, GSAF"
2015.06.30.b,30-Jun-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,,Hand bitten,N,,"The Telegraph, 7/8/2015"
2015.06.30.a,30-Jun-2015,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,afternoon,"C. Creswell, GSAF"
2015.06.27.b,27-Jun-2015,2015,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,18,"Injuries to right calf, buttock and both hands",N,afternoon,"C. Creswell, WRAL, 6/27/2015"
2015.06.27.a,27-Jun-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,afternoon,"NSRI, 6/27/205"
2015.06.26.c,26-Jun-2015,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,,Minor lacerations to leg,,afternoon,"Action News Jax, 6/26/2015"
2015.06.26.b,26-Jun-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N,afternoon,Zig Zag Surfing Magazine
2015.06.26.a,26-Jun-2015,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,Puncture wounds to foot,N,morning,"C. Creswell, GSAF; WCNC, 6/26/2015"
2015.06.25.R,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,"West Australian Police, 6/25/2015"
2015.06.25,25-Jun-2015,2015,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,Multiple lacerations to back,N,morning,"C. Creswell, GSAF"
2015.06.24.b,24-Jun-2015,2015,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,Minor injury to foot,N,morning,"C. Creswell, GSAF"
2015.06.24.a,24-Jun-2015,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,morning,"L. Kumpe, R. Mcauley"
2015.06.23,23-Jun-2015,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,N,,"C. Creswell, GSAF; R. Lurye, Island Packet"
2015.06.19,19-Jun-2015,2015,Unprovoked,PUERTO RICO,,Off Cabo Rojo,Spearfishing,M,36,Injury to hand,N,morning,"Yahoo News, 6/19/2015"
2015.06.17,17-Jun-2015,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,N,morning,"WTXL TV, 6/17/2015"
2015.06.14.b,14-Jun-2015,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,Arm amputated below shoulder,N,afternoon,"C. Creswell, GSAF"
2015.06.14.a,14-Jun-2015,2015,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,afternoon,"C. Creswell, GSAF"
2015.06.13,13-Jun-2015,2015,Unprovoked,USA,California,Off San Diego,,F,,Severe laceration to leg,N,,"Courthouse News Service, 11/14/2016"
2015.06.11,11-Jun-2015,2015,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,Minor lacerations to foot,N,morning,"C. Creswell, GSAF"
2015.06.07,07-Jun-2015,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,Lacerations to right calf,N,morning,"Florida Today, 6/7/2015"
2015.06.05,05-Jun-2015,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,Puncture wound to finger,N,,"7 News, 6/5/2015"
2015.06.01,01-Jun-2015,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47,Left forearm bitten,N,afternoon,"Clincanoo, 6/1/2015"
2015.05.29.b,29-May-2015,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,Left foot bitten,N,afternoon,"Orlando Sentinel, 5/29/2015"
2015.05.29.a,29-May-2015,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,Minor lacerations to dorsum of right foot,N,afternoon,"ClickOrlando, 5/29/2015"
2015.05.25,25-May-2015,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,19,Lacerations to right forearm,N,morning,Polynésie 1ère. 5/262015
2015.05.24,24-May-2015,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,"WFTV,  5/27/2015"
2015.05.20,20-May2015,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,morning,"WFTV, 5/20/2015"
2015.05.15,15-May-2015,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,M,30,Laceration to foot ,N,afternoon,"News 2, 5/15/2015"
2015.05.09,09-May-2015,2015,Unprovoked,NEW CALEDONIA,,Kouare ,Snorkeling,M,50,FATAL,Y,,Les Nouvelles Caledonnie
2015.05.07,07-May-2015,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,,"Lacerations to lower left leg, ankle & foot",N,afternoon,"KnightNews.com, 5/9/2015"
2015.05.03,03-May-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,,Injuries to left arm & right hand,N,afternoon,"ABC, 5/3/2015"
2015.05.02,02-May-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,"Injuries to leg, left arm & both hands",N,morning,"DispatchLive, 5/4/2015"
2015.04.29,29-Apr-2015,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,FATAL,Y,morning,"Star Advertiser, 4/30/2015"
2015.04.26,26-Apr-2015,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,Lacerations to left calf,N,afternoon,"ABC-7, 4/27/2015"
2015.04.25,25-Apr-2015,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,Leg severed at mid-thigh,N,morning,"The Advertiser, 4/25/2015"
2015.04.24.c,24-Jun-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,"No injury, knocked off ski",N,morning,"Echo Daily, 6/25/2015"
2015.04.13,13-Apr-2015,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,,"Miami Herald, 4/25/2015"
2015.04.12,12-Apr-2015,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,FATAL,Y,morning,"Le Huffington Post, 4/15/2015"
2015.04.11,11-Apr-2015,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,,Ankle injured,N,morning,"Surf Life Saving, 4/11/2015"
2015.04.03,03-Apr-2015,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,Injuries to head & torso,N,afternoon,"ABC Action News, 4/6/2015"
2015.03.29,29-Mar-2015,2015,Invalid,ITALY,Sardinia,,Diving,M,43,"FATAL, but shark involvement prior to death unconfirmed",,,"A. de Maddalena, GSAF"
2015.03.31,31-Mar-2015,2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,,morning,"Globo, 3/31/2015"
2015.03.26,26-Mar-2015,2015,Boating,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,No injury but kayak bitten,N,,"Times Live, 4/1/2015"
2015.03.21,21-Mar-2015,2015,Unprovoked,EGYPT,,Marsa Alam,Swimming,M,52,FATAL,Y,,"E. Ritter, GSAF"
2015.03.18,18-Mar-2015,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,morning,"KMBC, 3/19/2015"
2015.03.16,16-Mar-2015,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9,Hand bitten,N,morning,"Radio1, 3/16/2015"
2015.03.11,11-Mar-2015,2015,Boating,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,,Bruised in falling overboard as shark bumped boat,N,morning,"Northern Star, 3/13/2015"
2015.03.10,10-Mar-2015,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,morning,"Noreste, 3/10/2015"
2015.03.07,07-Mar-2015,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18,Thigh bitten,N,,"Radio1, 3/9/2015"
2015.02.14,14-Feb-2015,2015,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Swimming,F,22,FATAL,Y,afternoon,"L'Yonne Républicaine, 2/14/2015"
2015.02.09,09-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y,morning,"The Telegraph, 2/9/2015"
2015.02.08,08-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,morning,"The Telegraph, 2/8/2015"
2015.02.05,05-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,,5 minor puncture wounds to lower left leg,N,,"The Telegraph, 1/6/2015"
2015.01.30,30-Jan-2015,2015,Boating,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,"No injury, shark's teeth scratched hull",N,morning,"Gold Coast Bulletin, 1/31/2015"
2015.01.27,27-Jan-2015,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,,"Huffington Post, 1/28/2015"
2015.01.24,24-Jan-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,,"No injury, surfboard dented",N,,"Northern Star, 1/26/2015"
2015.01.23,23-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,N,afternoon,"Daily Dispatch, 1/31/2015"
2015.01.19.b,19-Jan-2015,2015,Boating,USA,Florida,Off Panama City,Fishing,M,,No injury but shark bit trolling motor & rammed boat,N,,"The Panhandle, 1/20/2015"
2015.01.19.a,19-Jan-2015,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,,Board snapped in two,,,"ABC North Coast, 1/21/2015"
2015.01.17,17-Jan-2015,2015,Boating,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,,"Shark bumped boat, no injury to occupants",N,afternoon,"The Sydney Morning Herald, 1/18/2015"
2015.01.16,16-Jan-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N,,"Milton-Ulladulla Times, 1/16/2015"
2015.01.08,08-Jan-2015,2015,Invalid,USA,Florida,,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",,night,"UPI, 1/12/2015"
2015.01.06,06-Jan-2015,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N,afternoon,"Britt Martin; Local10, 1/7/2015"
2015.01.03,03-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,morning,"Dispatch Online, 1/7/2015"
2015.01.01,01-Jan-2015,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",,M,12,Leg bitten,N,afternoon,"WPTV-West Palm Beach, 1/2/2015"
2014.12.29.b,29-Dec-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,,,Lacerations to both feet,N,morning,"South Coast Register, 12/29/2014"
2014.12.29.a,29-Dec-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Y,morning,"The West Australian, 12/29/2014"
2014.12.28.c,28-Dec-2014,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,,,Minor cuts on feet,,morning,"IOL News, 12/29/2014"
2014.12.28.b,28-Dec-2014,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N,morning,"R. Collier, GSAF"
2014.12.28.a,28-Dec-2014,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,morning,"ABC.net.au, 12/28/2014"
2014.12.15,15-Dec-2014,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Y,morning,"Herald Sun, 12/15/2014"
2014.12.03.R,Reported 03-Dec-2014,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,morning,"ABCandalucia, 12/3/2014"
2014.11.29,29-Nov-2014,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N,morning,"The Sydney Morning Herald, 11/29/2014"
2014.11.20,20-Nov-2014,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),,Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,,A. R. Ramjatan 
2014.11.19,19-Nov-2014,2014,Boating,AUSTRALIA,Western Australia,Freo,Fishing,M,,"Shark chasing fish bumped boat, no injury to occupants",N,,"The West Australian, 11/20/2014"
2014.11.16,16-Nov-2014,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N,morning,"USA Today, 11/16/2014"
2014.11.13,13-Nov-2014,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N,morning,"G. Kubota, Star Advertiser, 11/13/2014"
2014.11.10,10-Nov-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,,Minor injury to lower leg and foot,N,morning,"Norhern Rivers Echo, 11/10/2014"
2014.11.08,08-Nov-2014,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N,afternoon,WPTV.com
2014.10.31,31-Oct-2014,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N,morning,"L. Kubota, Hawaii News Now, 10/31/2014"
2014.10.30,29-Oct-2014,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,afternoon,"The Sydney Morning Herald, 10/30/2014"
2014.10.22,22-Oct-2014,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,,"No injury, paddleboard bitten",N,morning,"Hawaii News Now, 10/22/2014"
2014.10.20,20-Oct-2014,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,,"No injury, paddleboard bitten",N,morning,"The Maui News, 10/21/2014"
2014.10.19,19-Oct-2014,2014,Boating,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,,"No injury to occupant, canoe bitten",N,,"R. Collier, GSAF"
2014.10.18,18-Oct-2014,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,,"No injury, surfboard bitten",N,morning,"Star Advertiser, 10/18/2014"
2014.10.17,17-Oct-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,morning,"Sydney Morning Herald, 10/17/2014"
2014.10.14,14-Oct-2014,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N,,"TheIndyChannel, 10/16,2014"
2014.10.12,12-Oct-2014,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,,Laceration to right hand/wrist,N,afternoon,"Florida Today, 10/13/2014"
2014.10.11,11-Oct-2014,2014,Boating,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,,"Kayak deflated, no injury to occupants",N,afternoon,"Perth Now, 10/11/2014"
2014.10.05.b,05-Oct-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,N,morning,"WESH2, 10/6/2014"
2014.10.07,07-Oct-2014,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,N,afternoon,"Click Orlando, 10/7/2014"
2014.10.05.a,05-Oct-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,N,morning,"WESH2, 10/6/2014"
2014.10.03.b,03-Oct-2014,2014,Boating,USA,California,Santa Barbara County,Kayaking,M,,"No injury to occupant, shark/s holded  kayak",N,afternoon,"R. Collier, GSAF"
2014.10.03.a,03-Oct-2014,2014,Boating,USA,California,Santa Barbara County,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",N,morning,"R. Collier, GSAF"
2014.10.02.b,02-Oct-2014,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,N,afternoon,"R. Collier, GSAF"
2014.10.02.a,02-Oct-2014,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,morning,"9News, 2/15/2015"
2014.09.21,21-Sep-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Minor injury to left foot,N,morning,"NBC2 News, 9/21/2014"
2014.09.13.R,Reported 12-Sep-2014,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36,Thumb & finger nipped,N,,"LeDepeche, 9/12/2014"
2014.09.13,13-Sep-2014,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,,"A hoax, no shark involvement",,afternoon,"R. Collier, GSAF"
2014.09.09,09-Sep-2014,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Y,morning,"BBC, 9/9/2014"
2014.09.06,06-Sep-2014,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,N,morning,"Fox10TV.com, 9/7/2014"
2014.09.03,03-Sep-2014,2014,Boating,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20,"No injury, shark bit kayak",N,afternoon,"Boston Globe, 9/4/2014"
2014.09.02,02-Sep-2014,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,afternoon,"WPBF.com, 9/2/2014"
2014.09.00,Sep-2014,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,16,Lacerations to right hand,N,,"A. Brenneka, Shark Attack Survivors"
2014.08.31,31-Aug-2014,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,N,afternoon,"Sun Sentinel, 8/31/2014"
2014.08.29.b,29-Aug-2014,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,,"Click Orlando, 9/12/2014"
2014.08.28,28-Aug-2014,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,,"Delmarva Now, 8/29/2014"
2014.08.27.c,27-Aug-2014,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30,Minor lacerations to posterior lower leg,N,,"Diario Informacion, 8/29/2014"
2014.08.27.b,27-Aug-2014,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,N,,"C. Creswell, GSAF"
2014.08.27.a,27-Aug-2014,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,,Heel bitten,N,afternoon,"C. Creswell, GSAF"
2014.08.25,Reported 25-Aug-2014,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,,"Nooga.com, 8/25/2014"
2014.08.24,24-Aug-2014,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,,,Laceration to left foot,N,,"C. Creswell, GSAF; WWAY, 8/24/2014"
2014.08.16,16-Aug-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31,Lacerations to face and neck,N,,"Herald Sun, 8/21/2014"
2014.08.12,12-Aug-2014,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,,Puncture wounds and lacerations to left thigh and knee,N,morning,"K. Hayes / Brewton Standard, 8/19/2014"
